Rdate,comment,condition,drug,easeofuse,effectiveness,helpful,reviewer,satisfaction
6/7/2008 11:40:42 PM,"Since my Doctor prescribed this medication it has been pretty effective, I have naticed a definite decline in blood sugsrs",Type 2 Diabetes Mellitus,pioglitazone oral,5,4,4,"Harold, 55-64 Male  on Treatment for 1 to 6 months (Patient)",4
1/1/2008 3:01:53 AM,"Since my Doctor prescribed this medication it has been pretty effective, I have naticed a definite decline in blood sugsrs",Type 2 Diabetes Mellitus,pioglitazone oral,4,3,4,"Alyssa, 19-24 Female  on Treatment for 1 to less than 2 years (Patient)",3
12/21/2007 2:06:23 PM,"Since my Doctor prescribed this medication it has been pretty effective, I have naticed a definite decline in blood sugsrs",Type 2 Diabetes Mellitus,pioglitazone oral,5,5,4,"normal again, 45-54 Male  on Treatment for 2 to less than 5 years (Patient)",5
11/29/2007 5:14:37 PM,"Since my Doctor prescribed this medication it has been pretty effective, I have naticed a definite decline in blood sugsrs",Type 2 Diabetes Mellitus,pioglitazone oral,3,3,4,"lawanda, 45-54 Female  on Treatment for 1 to less than 2 years (Patient)",3
11/27/2014 7:17:56 PM,I think in combination with Metformin it works and lowered my sugar level from 200+ to 100+,Type 2 Diabetes Mellitus,Jardiance oral,5,4,31,"simplicit, 55-64 Male  on Treatment for 1 to 6 months (Patient)",4
6/10/2008 2:53:39 PM,Have used pen for about 2 months.  Less painful by far than checking blood sugar. Having to switch to Lantus w/syring in order to get from VA.  Hope it woks as well.,Type 2 Diabetes Mellitus,Levemir subcutaneous,4,5,1,75 or over Male  on Treatment for 1 to 6 months (Patient),5
5/23/2008 5:39:57 PM,Have used pen for about 2 months.  Less painful by far than checking blood sugar. Having to switch to Lantus w/syring in order to get from VA.  Hope it woks as well.,Type 2 Diabetes Mellitus,Levemir subcutaneous,3,5,1,"wald2989, 55-64 Male  on Treatment for 1 to 6 months (Patient)",3
1/25/2013 11:02:49 AM,"I have only been on Victoza for 2+ weeks. The first week was at 0.6 and after that 1.2. The first day, I experienced slight nausea and a little back pain but it quickly subsided after a day. When I made the Jump to 1.2, no nausea but a slight bit of back pain again. After a day at 1.2, all was fine. Very quickly, my BG wne from 205 down to 150, and now at 135 and still going down, I also take the 
					...
					",Type 2 Diabetes Mellitus,Victoza 2-Pak subcutaneous,5,5,12,"Editor58, 45-54 Male  on Treatment for less than 1 month (Patient)",5
4/24/2011 8:59:04 AM,I have just started to take this drug for a starters to if it will help me in anyway to help to control my diabetes.,Type 2 Diabetes Mellitus,Kombiglyze XR oral,5,4,3,"jarele, 25-34 Male  on Treatment for less than 1 month (Patient)",4
4/5/2011 1:31:52 PM,I have just started to take this drug for a starters to if it will help me in anyway to help to control my diabetes.,Type 2 Diabetes Mellitus,Kombiglyze XR oral,5,4,3,25-34 Female  on Treatment for less than 1 month (Patient),4
3/7/2011 4:35:50 PM,I have just started to take this drug for a starters to if it will help me in anyway to help to control my diabetes.,Type 2 Diabetes Mellitus,Kombiglyze XR oral,3,1,3,45-54 Male  (Patient),1
3/25/2015 12:34:32 PM,Doesn't work. Cough is intolerable. Dosing doesn't make sense ,Type 2 Diabetes Mellitus,Afrezza inhalation,1,1,0,"Brewman , 55-64 Male  on Treatment for 1 to 6 months (Patient)",1
3/25/2015 12:19:46 PM,Doesn't work. Cough is intolerable. Dosing doesn't make sense ,Type 2 Diabetes Mellitus,Afrezza inhalation,5,5,0,"tipe2, 35-44 Male  on Treatment for less than 1 month (Patient)",5
3/24/2015 5:08:47 PM,Doesn't work. Cough is intolerable. Dosing doesn't make sense ,Type 2 Diabetes Mellitus,Afrezza inhalation,1,1,0,55-64 Female  on Treatment for 1 to 6 months (Patient),1
9/27/2007 11:30:24 AM,Had been on glucophage for 2 years but had to stop due to diarrhea problems Then put on glumetza and have started to have bowel problems but not sure if it is the medicine or not.,Type 2 Diabetes Mellitus,Glumetza oral,5,3,11,"maureen, 65-74 Female  on Treatment for 6 months to less than 1 year (Patient)",3
10/21/2007 10:23:33 AM,2 pills per day lowered my A1c test from 12.8 to 5.8!,Type 2 Diabetes Mellitus,Actoplus MET oral,5,5,2,35-44 Male  on Treatment for 1 to less than 2 years,5
10/14/2007 9:24:09 PM,2 pills per day lowered my A1c test from 12.8 to 5.8!,Type 2 Diabetes Mellitus,Actoplus MET oral,5,5,2,"muzings, 45-54 Male  on Treatment for 6 months to less than 1 year (Patient)",5
10/14/2007 8:59:09 PM,2 pills per day lowered my A1c test from 12.8 to 5.8!,Type 2 Diabetes Mellitus,Actoplus MET oral,4,4,2,55-64 Female  on Treatment for 6 months to less than 1 year (Patient),4
6/2/2014 11:57:35 PM,"Farxiga is the first oral med to work for me.  As a side benefit, I am losing weight without even trying.   I have read the cautions and I don't fall into the groups that should not take this.
",Type 2 Diabetes Mellitus,Farxiga oral,5,5,34,"jumikja, 55-64 Female  on Treatment for 1 to 6 months (Patient)",5
5/7/2014 3:05:19 PM,"Farxiga is the first oral med to work for me.  As a side benefit, I am losing weight without even trying.   I have read the cautions and I don't fall into the groups that should not take this.
",Type 2 Diabetes Mellitus,Farxiga oral,5,4,34,"Karmacomes knockin, 55-64 Female",4
9/27/2007 1:59:46 PM,i was terrified og giving my self injections until my doctor introduced levemir pen it works great,Type 2 Diabetes Mellitus,Levemir Flexpen subcutaneous,5,4,14,"mellaniehull516, 45-54 Female  on Treatment for 1 to 6 months (Patient)",5
10/14/2007 12:21:00 AM,Caused severe weight gain.  MD did not even know that this was a side effect. We have to be our own advocate.,Type 2 Diabetes Mellitus,Amaryl oral,5,4,10,"Gaffer, 45-54 Male  on Treatment for 2 to less than 5 years (Patient)",4
9/28/2007 6:03:12 AM,Caused severe weight gain.  MD did not even know that this was a side effect. We have to be our own advocate.,Type 2 Diabetes Mellitus,Amaryl oral,5,1,10,"dpl49, 45-54 Male  on Treatment for 2 to less than 5 years (Patient)",1
9/26/2007 11:51:10 PM,Caused severe weight gain.  MD did not even know that this was a side effect. We have to be our own advocate.,Type 2 Diabetes Mellitus,Amaryl oral,5,5,10,"ARTISAN, 45-54 Male  on Treatment for 1 to 6 months (Patient)",5
9/24/2007 7:29:44 PM,Caused severe weight gain.  MD did not even know that this was a side effect. We have to be our own advocate.,Type 2 Diabetes Mellitus,Amaryl oral,5,2,10,65-74 Female  on Treatment for 1 to 6 months (Patient),1
9/24/2007 1:33:08 PM,Caused severe weight gain.  MD did not even know that this was a side effect. We have to be our own advocate.,Type 2 Diabetes Mellitus,Amaryl oral,5,5,10,45-54 Female  on Treatment for 1 to 6 months (Patient),2
1/1/2008 7:28:28 PM,"quickly got my blood sugar under control...a few issues with low blood sugar, but nothing that can not be controled",Type 2 Diabetes Mellitus,Amaryl oral,5,5,19,35-44 Male  on Treatment for 1 to 6 months (Patient),5
11/21/2007 7:52:37 PM,"quickly got my blood sugar under control...a few issues with low blood sugar, but nothing that can not be controled",Type 2 Diabetes Mellitus,Amaryl oral,4,1,19,65-74 Female  on Treatment for 1 to 6 months (Patient),1
10/31/2007 2:56:45 AM,"quickly got my blood sugar under control...a few issues with low blood sugar, but nothing that can not be controled",Type 2 Diabetes Mellitus,Amaryl oral,5,5,19,"Ken, 45-54 Male  on Treatment for less than 1 month (Patient)",5
10/27/2007 7:26:15 AM,"quickly got my blood sugar under control...a few issues with low blood sugar, but nothing that can not be controled",Type 2 Diabetes Mellitus,Amaryl oral,1,1,19,,1
10/16/2007 7:40:50 PM,"quickly got my blood sugar under control...a few issues with low blood sugar, but nothing that can not be controled",Type 2 Diabetes Mellitus,Amaryl oral,5,5,19,"thomasrpriceofky, 25-34 Male  on Treatment for 1 to less than 2 years (Patient)",5
2/10/2008 11:34:53 AM,"Lost 15 pounds since starting drug (combined with diet and exercise), droped suger 25 plus points, itch only after using tanning booth. 1 mg dose rate. ",Type 2 Diabetes Mellitus,Amaryl oral,4,4,14,45-54 Male  on Treatment for less than 1 month (Patient),4
2/9/2008 5:14:44 PM,"Lost 15 pounds since starting drug (combined with diet and exercise), droped suger 25 plus points, itch only after using tanning booth. 1 mg dose rate. ",Type 2 Diabetes Mellitus,Amaryl oral,5,3,14,"tomlei, 55-64 Male  on Treatment for 1 to less than 2 years (Patient)",3
2/9/2008 12:20:27 AM,"Lost 15 pounds since starting drug (combined with diet and exercise), droped suger 25 plus points, itch only after using tanning booth. 1 mg dose rate. ",Type 2 Diabetes Mellitus,Amaryl oral,4,4,14,"Tee, 45-54 Female  on Treatment for 2 to less than 5 years (Patient)",3
2/7/2008 7:33:29 AM,"Lost 15 pounds since starting drug (combined with diet and exercise), droped suger 25 plus points, itch only after using tanning booth. 1 mg dose rate. ",Type 2 Diabetes Mellitus,Amaryl oral,5,3,14,"Rebecca, 45-54 Female  on Treatment for 1 to less than 2 years (Patient)",3
1/30/2008 8:45:08 PM,"Lost 15 pounds since starting drug (combined with diet and exercise), droped suger 25 plus points, itch only after using tanning booth. 1 mg dose rate. ",Type 2 Diabetes Mellitus,Amaryl oral,4,5,14,"Bernie, 55-64 Male  on Treatment for 2 to less than 5 years (Patient)",1
4/27/2008 11:54:36 PM,"I do not seem to have any side effects from the glimeperide in particular. something makes me feel chilled sometimes, and tingling of my fingers and my feet have pricking pains at night mainly, but i take other medications, including Benicar, Atenelol, Metoprolol, and levothyroxine, so it might not be compatible with all of those, I can not say. ",Type 2 Diabetes Mellitus,Amaryl oral,5,3,11,"olajune, 75 or over Female  on Treatment for 1 to less than 2 years (Patient)",3
4/27/2008 6:59:27 PM,"I do not seem to have any side effects from the glimeperide in particular. something makes me feel chilled sometimes, and tingling of my fingers and my feet have pricking pains at night mainly, but i take other medications, including Benicar, Atenelol, Metoprolol, and levothyroxine, so it might not be compatible with all of those, I can not say. ",Type 2 Diabetes Mellitus,Amaryl oral,3,3,11,"tea53134, 65-74 Female  on Treatment for 5 to less than 10 years (Patient)",3
4/18/2008 9:02:03 PM,"I do not seem to have any side effects from the glimeperide in particular. something makes me feel chilled sometimes, and tingling of my fingers and my feet have pricking pains at night mainly, but i take other medications, including Benicar, Atenelol, Metoprolol, and levothyroxine, so it might not be compatible with all of those, I can not say. ",Type 2 Diabetes Mellitus,Amaryl oral,4,3,11,"Alleen35, 55-64 Female  on Treatment for 10 years or more (Patient)",2
4/10/2008 12:05:26 AM,"I do not seem to have any side effects from the glimeperide in particular. something makes me feel chilled sometimes, and tingling of my fingers and my feet have pricking pains at night mainly, but i take other medications, including Benicar, Atenelol, Metoprolol, and levothyroxine, so it might not be compatible with all of those, I can not say. ",Type 2 Diabetes Mellitus,Amaryl oral,4,1,11,"jaime, 45-54 Male  on Treatment for less than 1 month",2
2/25/2008 6:48:07 PM,"I do not seem to have any side effects from the glimeperide in particular. something makes me feel chilled sometimes, and tingling of my fingers and my feet have pricking pains at night mainly, but i take other medications, including Benicar, Atenelol, Metoprolol, and levothyroxine, so it might not be compatible with all of those, I can not say. ",Type 2 Diabetes Mellitus,Amaryl oral,4,4,11,"Bebob, 75 or over Male  on Treatment for 5 to less than 10 years",4
7/4/2008 8:23:55 PM,haven't really noticed a difference in effect on blood sugar with/without the medicine.,Type 2 Diabetes Mellitus,Amaryl oral,5,3,5,"oilpatchcatch, 45-54 Female  (Patient)",3
6/11/2008 4:11:36 PM,haven't really noticed a difference in effect on blood sugar with/without the medicine.,Type 2 Diabetes Mellitus,Amaryl oral,4,2,5,"holly, 55-64 Female  on Treatment for 1 to 6 months (Patient)",2
6/3/2008 3:24:44 PM,haven't really noticed a difference in effect on blood sugar with/without the medicine.,Type 2 Diabetes Mellitus,Amaryl oral,3,5,5,45-54 Female  on Treatment for 1 to 6 months (Patient),4
5/17/2008 2:40:05 PM,haven't really noticed a difference in effect on blood sugar with/without the medicine.,Type 2 Diabetes Mellitus,Amaryl oral,5,5,5,"delois, 45-54 Female  on Treatment for less than 1 month (Patient)",5
5/1/2008 10:47:28 PM,haven't really noticed a difference in effect on blood sugar with/without the medicine.,Type 2 Diabetes Mellitus,Amaryl oral,3,3,5,45-54 Female  on Treatment for 6 months to less than 1 year (Patient),2
9/23/2008 12:03:42 PM,"Has worked for me,better than Actos",Type 2 Diabetes Mellitus,Amaryl oral,5,5,10,,5
9/13/2008 10:30:41 PM,"Has worked for me,better than Actos",Type 2 Diabetes Mellitus,Amaryl oral,5,5,10,"butlersbaby, 45-54 Female  on Treatment for less than 1 month (Patient)",5
9/9/2008 4:48:48 PM,"Has worked for me,better than Actos",Type 2 Diabetes Mellitus,Amaryl oral,5,4,10,,5
9/4/2008 3:15:33 PM,"Has worked for me,better than Actos",Type 2 Diabetes Mellitus,Amaryl oral,5,4,10,35-44 Male  on Treatment for 1 to 6 months (Patient),1
8/5/2008 3:14:34 PM,"Has worked for me,better than Actos",Type 2 Diabetes Mellitus,Amaryl oral,5,4,10,45-54 Female  on Treatment for less than 1 month (Patient),5
12/30/2008 11:00:53 AM,It took about 1-1/2 weeks to shows signs of improvement but has been very effective since. I take 2mg a day and I also take 1000mg metformin.,Type 2 Diabetes Mellitus,Amaryl oral,5,4,13,"iowamike, 35-44 Male  on Treatment for 1 to 6 months (Patient)",4
12/29/2008 4:08:23 PM,It took about 1-1/2 weeks to shows signs of improvement but has been very effective since. I take 2mg a day and I also take 1000mg metformin.,Type 2 Diabetes Mellitus,Amaryl oral,3,4,13,35-44 Male  on Treatment for 5 to less than 10 years (Patient),4
12/9/2008 9:22:41 PM,It took about 1-1/2 weeks to shows signs of improvement but has been very effective since. I take 2mg a day and I also take 1000mg metformin.,Type 2 Diabetes Mellitus,Amaryl oral,5,1,13,"jfroprofb, 45-54 Male  on Treatment for less than 1 month (Patient)",1
12/9/2008 2:21:18 PM,It took about 1-1/2 weeks to shows signs of improvement but has been very effective since. I take 2mg a day and I also take 1000mg metformin.,Type 2 Diabetes Mellitus,Amaryl oral,4,4,13,,4
10/7/2008 5:28:04 PM,It took about 1-1/2 weeks to shows signs of improvement but has been very effective since. I take 2mg a day and I also take 1000mg metformin.,Type 2 Diabetes Mellitus,Amaryl oral,5,4,13,"SUNSHINE, 65-74 Female  on Treatment for 1 to 6 months (Patient)",4
3/21/2009 10:13:30 AM,I have a heart condition and was not made aware of the wieght gain side effect.  The prescribing DR. was aware of this now I have to change meds again.,Type 2 Diabetes Mellitus,Amaryl oral,5,5,1,"JV, 55-64 Female  on Treatment for 5 to less than 10 years (Patient)",5
3/9/2009 10:54:59 PM,I have a heart condition and was not made aware of the wieght gain side effect.  The prescribing DR. was aware of this now I have to change meds again.,Type 2 Diabetes Mellitus,Amaryl oral,5,3,1,"dogsitter, 55-64 Female  on Treatment for 1 to 6 months (Patient)",2
3/2/2009 5:18:50 AM,I have a heart condition and was not made aware of the wieght gain side effect.  The prescribing DR. was aware of this now I have to change meds again.,Type 2 Diabetes Mellitus,Amaryl oral,5,5,1,"lakay, 45-54 Male  on Treatment for less than 1 month (Patient)",5
2/18/2009 12:26:35 PM,I have a heart condition and was not made aware of the wieght gain side effect.  The prescribing DR. was aware of this now I have to change meds again.,Type 2 Diabetes Mellitus,Amaryl oral,2,3,1,"webmd, 55-64 Male  on Treatment for less than 1 month (Patient)",1
1/30/2009 10:59:18 AM,I have a heart condition and was not made aware of the wieght gain side effect.  The prescribing DR. was aware of this now I have to change meds again.,Type 2 Diabetes Mellitus,Amaryl oral,4,4,1,,4
6/26/2009 8:44:03 PM,"Did not help because I could not take a higher dose, 1mg. Allergic reaction to sulfor",Type 2 Diabetes Mellitus,Amaryl oral,4,1,3,75 or over on Treatment for 6 months to less than 1 year (Patient),1
6/12/2009 10:43:51 PM,"Did not help because I could not take a higher dose, 1mg. Allergic reaction to sulfor",Type 2 Diabetes Mellitus,Amaryl oral,5,3,3,35-44 Female  on Treatment for less than 1 month (Patient),1
6/9/2009 4:08:40 PM,"Did not help because I could not take a higher dose, 1mg. Allergic reaction to sulfor",Type 2 Diabetes Mellitus,Amaryl oral,5,3,3,"bearfeeder2002, 25-34 Female  on Treatment for less than 1 month (Patient)",3
5/11/2009 11:45:07 AM,"Did not help because I could not take a higher dose, 1mg. Allergic reaction to sulfor",Type 2 Diabetes Mellitus,Amaryl oral,5,5,3,25-34 Female  on Treatment for 2 to less than 5 years (Patient),3
4/17/2009 11:24:16 AM,"Did not help because I could not take a higher dose, 1mg. Allergic reaction to sulfor",Type 2 Diabetes Mellitus,Amaryl oral,3,4,3,35-44 Female  on Treatment for 1 to less than 2 years (Patient),2
11/2/2009 9:07:48 PM,Have been taking other meds but the combination one januvia and 2mgs amaryl taken in .5 mgs 4 times a day work best for me,Type 2 Diabetes Mellitus,Amaryl oral,5,5,4,"Phil, 55-64 Male  on Treatment for 5 to less than 10 years (Patient)",4
9/27/2009 11:09:54 AM,Have been taking other meds but the combination one januvia and 2mgs amaryl taken in .5 mgs 4 times a day work best for me,Type 2 Diabetes Mellitus,Amaryl oral,5,5,4,35-44 Male  on Treatment for less than 1 month (Patient),5
8/23/2009 1:57:01 PM,Have been taking other meds but the combination one januvia and 2mgs amaryl taken in .5 mgs 4 times a day work best for me,Type 2 Diabetes Mellitus,Amaryl oral,1,4,4,45-54 on Treatment for less than 1 month (Patient),2
8/12/2009 10:33:17 AM,Have been taking other meds but the combination one januvia and 2mgs amaryl taken in .5 mgs 4 times a day work best for me,Type 2 Diabetes Mellitus,Amaryl oral,5,4,4,,1
8/11/2009 9:43:31 AM,Have been taking other meds but the combination one januvia and 2mgs amaryl taken in .5 mgs 4 times a day work best for me,Type 2 Diabetes Mellitus,Amaryl oral,5,5,4,"MizzeeP, 45-54 Female  on Treatment for 1 to 6 months (Patient)",5
3/15/2010 6:54:25 PM,"I had weight gain since using this medicine, 10 lbs. My sugars have improved and go low in the afternoon I'm on 1/2 of 1 mg 2x's a day. I'm usually 116 in the am and 70's 90 in the afternoon and 120-130's evening. Not happen with the weight gain and I'm eating the same way I have been. ",Type 2 Diabetes Mellitus,Amaryl oral,5,5,11,"Ellie, 65-74 Female  on Treatment for 1 to 6 months (Patient)",3
3/14/2010 10:15:43 PM,"I had weight gain since using this medicine, 10 lbs. My sugars have improved and go low in the afternoon I'm on 1/2 of 1 mg 2x's a day. I'm usually 116 in the am and 70's 90 in the afternoon and 120-130's evening. Not happen with the weight gain and I'm eating the same way I have been. ",Type 2 Diabetes Mellitus,Amaryl oral,1,5,11,"frustrated51, 45-54 Male  on Treatment for less than 1 month (Patient)",1
2/23/2010 2:38:36 AM,"I had weight gain since using this medicine, 10 lbs. My sugars have improved and go low in the afternoon I'm on 1/2 of 1 mg 2x's a day. I'm usually 116 in the am and 70's 90 in the afternoon and 120-130's evening. Not happen with the weight gain and I'm eating the same way I have been. ",Type 2 Diabetes Mellitus,Amaryl oral,4,4,11,55-64 Male  on Treatment for less than 1 month (Patient),1
2/2/2010 6:02:15 PM,"I had weight gain since using this medicine, 10 lbs. My sugars have improved and go low in the afternoon I'm on 1/2 of 1 mg 2x's a day. I'm usually 116 in the am and 70's 90 in the afternoon and 120-130's evening. Not happen with the weight gain and I'm eating the same way I have been. ",Type 2 Diabetes Mellitus,Amaryl oral,5,3,11,"DI, 55-64 Female  on Treatment for less than 1 month (Patient)",4
1/28/2010 2:15:56 PM,"I had weight gain since using this medicine, 10 lbs. My sugars have improved and go low in the afternoon I'm on 1/2 of 1 mg 2x's a day. I'm usually 116 in the am and 70's 90 in the afternoon and 120-130's evening. Not happen with the weight gain and I'm eating the same way I have been. ",Type 2 Diabetes Mellitus,Amaryl oral,3,3,11,"bgal4u, 55-64 Female  on Treatment for 1 to less than 2 years (Patient)",3
4/22/2010 5:42:46 PM,Amaryl works for me..(Along with 1000 milograms of glucophage...) My numbers are usually 110 to 120 in the a.m. 100 in the p.m.. My main gripe is I've gained 10 pounds!!! (I'm 240 pounds right now!) If anyone could recommend another medication (help!!) Rod,Type 2 Diabetes Mellitus,Amaryl oral,3,3,16,"Rowdy Rod, 35-44 Male  on Treatment for 2 to less than 5 years (Patient)",3
4/22/2010 11:21:14 AM,Amaryl works for me..(Along with 1000 milograms of glucophage...) My numbers are usually 110 to 120 in the a.m. 100 in the p.m.. My main gripe is I've gained 10 pounds!!! (I'm 240 pounds right now!) If anyone could recommend another medication (help!!) Rod,Type 2 Diabetes Mellitus,Amaryl oral,4,3,16,"musicmanmalik, 45-54 Male  on Treatment for less than 1 month (Patient)",3
4/20/2010 9:50:27 PM,Amaryl works for me..(Along with 1000 milograms of glucophage...) My numbers are usually 110 to 120 in the a.m. 100 in the p.m.. My main gripe is I've gained 10 pounds!!! (I'm 240 pounds right now!) If anyone could recommend another medication (help!!) Rod,Type 2 Diabetes Mellitus,Amaryl oral,4,1,16,"V.C., 55-64 Male  on Treatment for 1 to 6 months (Patient)",1
4/14/2010 9:28:46 PM,Amaryl works for me..(Along with 1000 milograms of glucophage...) My numbers are usually 110 to 120 in the a.m. 100 in the p.m.. My main gripe is I've gained 10 pounds!!! (I'm 240 pounds right now!) If anyone could recommend another medication (help!!) Rod,Type 2 Diabetes Mellitus,Amaryl oral,3,4,16,"RowdyRod, 35-44 Male  on Treatment for 1 to less than 2 years (Patient)",3
4/10/2010 11:09:02 PM,Amaryl works for me..(Along with 1000 milograms of glucophage...) My numbers are usually 110 to 120 in the a.m. 100 in the p.m.. My main gripe is I've gained 10 pounds!!! (I'm 240 pounds right now!) If anyone could recommend another medication (help!!) Rod,Type 2 Diabetes Mellitus,Amaryl oral,5,5,16,,5
9/21/2010 10:58:26 AM,very weak and   dizzy,Type 2 Diabetes Mellitus,Amaryl oral,5,5,6,"glimepiridenq7w45, 65-74 Female  on Treatment for 1 to less than 2 years (Patient)",1
8/3/2010 11:32:43 AM,very weak and   dizzy,Type 2 Diabetes Mellitus,Amaryl oral,5,5,6,"kylady871, 35-44 on Treatment for less than 1 month (Patient)",5
7/19/2010 1:53:07 PM,very weak and   dizzy,Type 2 Diabetes Mellitus,Amaryl oral,5,5,6,"Josie, 45-54 Female  on Treatment for less than 1 month (Patient)",3
6/13/2010 1:57:32 PM,very weak and   dizzy,Type 2 Diabetes Mellitus,Amaryl oral,3,3,6,"kessler, 55-64 Male  on Treatment for less than 1 month (Patient)",3
5/22/2010 11:16:26 AM,very weak and   dizzy,Type 2 Diabetes Mellitus,Amaryl oral,5,4,6,"hl, 55-64 Male  on Treatment for less than 1 month (Patient)",4
5/19/2011 9:41:13 PM,blood sugar sometimes to low,Type 2 Diabetes Mellitus,Amaryl oral,4,3,5,"bill, 55-64 Male  on Treatment for 1 to less than 2 years (Patient)",3
3/10/2011 11:31:38 PM,blood sugar sometimes to low,Type 2 Diabetes Mellitus,Amaryl oral,2,3,5,"darkwingduck1, 45-54 Male  on Treatment for 1 to 6 months (Patient)",1
2/19/2011 9:52:57 PM,blood sugar sometimes to low,Type 2 Diabetes Mellitus,Amaryl oral,5,5,5,75 or over Male  on Treatment for 1 to 6 months (Patient),5
1/15/2011 9:17:46 AM,blood sugar sometimes to low,Type 2 Diabetes Mellitus,Amaryl oral,4,1,5,,1
9/30/2010 1:27:40 AM,blood sugar sometimes to low,Type 2 Diabetes Mellitus,Amaryl oral,5,5,5,"Luc MADRELLE, 55-64 Male  on Treatment for 5 to less than 10 years (Patient)",5
10/27/2011 12:52:46 PM,"always feel tired or drained, gained weight, have sudden spells of low sugar. just don't feel like i have any energy.",Type 2 Diabetes Mellitus,Amaryl oral,3,1,8,,1
10/19/2011 4:12:11 PM,"always feel tired or drained, gained weight, have sudden spells of low sugar. just don't feel like i have any energy.",Type 2 Diabetes Mellitus,Amaryl oral,5,4,8,"pukepod, 75 or over Male  on Treatment for 1 to 6 months (Patient)",5
9/29/2011 10:31:16 AM,"always feel tired or drained, gained weight, have sudden spells of low sugar. just don't feel like i have any energy.",Type 2 Diabetes Mellitus,Amaryl oral,4,5,8,"IdahoSpud, 55-64 Female  on Treatment for 1 to 6 months (Patient)",4
9/27/2011 1:13:48 PM,"always feel tired or drained, gained weight, have sudden spells of low sugar. just don't feel like i have any energy.",Type 2 Diabetes Mellitus,Amaryl oral,5,1,8,"tndsteward, 45-54 Female  on Treatment for less than 1 month (Patient)",1
8/5/2011 7:26:03 AM,"always feel tired or drained, gained weight, have sudden spells of low sugar. just don't feel like i have any energy.",Type 2 Diabetes Mellitus,Amaryl oral,4,3,8,65-74 Male  on Treatment for 6 months to less than 1 year (Patient),3
10/30/2012 12:37:14 PM,it has caused problems of cramps &shivering  along with loss of energy.,Type 2 Diabetes Mellitus,Amaryl oral,5,5,5,"Gita, 55-64 Female  on Treatment for less than 1 month (Caregiver)",3
8/7/2012 1:13:53 AM,it has caused problems of cramps &shivering  along with loss of energy.,Type 2 Diabetes Mellitus,Amaryl oral,5,2,5,"Gino, 65-74 Male  on Treatment for 1 to less than 2 years (Patient)",2
2/15/2012 7:53:22 AM,it has caused problems of cramps &shivering  along with loss of energy.,Type 2 Diabetes Mellitus,Amaryl oral,4,3,5,65-74 Male  on Treatment for 2 to less than 5 years (Patient),2
1/31/2012 8:21:04 PM,it has caused problems of cramps &shivering  along with loss of energy.,Type 2 Diabetes Mellitus,Amaryl oral,5,4,5,"Bella, 45-54 Female  on Treatment for 1 to less than 2 years (Patient)",1
